timestamp,username,account_type,src_ip,target,protocol,success,anomaly_type,is_anomaly
2024-01-01 00:16:00,svc_monitor,service,172.18.160.25,router-mgmt,tacacs,1,normal,0
2024-01-01 00:23:00,svc_backup,service,69.252.84.6,backup-svr,tacacs,1,normal,0
2024-01-01 00:44:00,svc_backup,service,184.29.64.11,backup-svr,tacacs,1,normal,0
2024-01-01 04:25:00,svc_deploy,service,162.150.19.16,git-runner,tacacs,1,normal,0
2024-01-01 07:23:00,svc_monitor,service,184.29.61.3,cmts-mgmt,tacacs,1,normal,0
2024-01-01 07:24:00,svc_deploy,service,184.29.53.16,git-runner,tacacs,1,normal,0
2024-01-01 07:28:00,net_admin1,admin,172.19.64.25,firewall,tacacs,1,normal,0
2024-01-01 07:32:00,root,root,185.220.8.1,firewall,tacacs,1,root_login,1
2024-01-01 07:43:00,mwilliams,user,10.1.0.40,vpn,radius,1,normal,0
2024-01-01 07:46:00,net_admin1,admin,172.16.192.15,router-core,tacacs,1,normal,0
2024-01-01 08:05:00,fieldtech_b,field,10.4.64.30,provisioning,radius,1,normal,0
2024-01-01 09:39:00,mwilliams,user,50.200.15.1,sharepoint,radius,1,normal,0
2024-01-01 09:40:00,svc_backup,service,184.29.61.19,storage-mgmt,tacacs,0,normal,0
2024-01-01 10:59:00,jsmith,user,96.19.48.100,webmail,radius,1,normal,0
2024-01-01 11:12:00,net_admin2,admin,172.16.16.15,router-core,tacacs,1,normal,0
2024-01-01 12:12:00,net_admin2,admin,172.18.176.15,router-core,tacacs,1,normal,0
2024-01-01 12:17:00,svc_deploy,service,162.150.16.10,git-runner,tacacs,1,normal,0
2024-01-01 13:55:00,rjohnson,user,100.71.88.3,vpn,radius,1,normal,0
2024-01-01 14:12:00,svc_backup,service,69.252.97.1,storage-mgmt,tacacs,1,normal,0
2024-01-01 15:19:00,net_admin2,admin,172.19.144.15,router-core,tacacs,1,normal,0
2024-01-01 15:36:00,svc_monitor,service,172.19.176.25,router-mgmt,tacacs,1,normal,0
2024-01-01 15:53:00,svc_backup,service,162.150.8.11,storage-mgmt,tacacs,1,normal,0
2024-01-01 16:23:00,svc_backup,service,69.252.96.9,storage-mgmt,tacacs,1,normal,0
2024-01-01 16:25:00,svc_backup,service,185.220.55.100,intranet,radius,1,svc_account_interactive,1
2024-01-01 16:42:00,net_admin2,admin,184.29.69.4,switch-mgmt,tacacs,1,normal,0
2024-01-01 17:08:00,net_admin2,admin,184.29.56.1,switch-mgmt,tacacs,1,normal,0
2024-01-01 17:18:00,alopez,user,172.19.80.25,intranet,radius,1,normal,0
2024-01-01 18:04:00,svc_monitor,service,69.252.82.10,router-mgmt,tacacs,1,normal,0
2024-01-01 19:41:00,svc_monitor,service,69.252.90.11,router-mgmt,tacacs,1,normal,0
2024-01-01 20:26:00,svc_monitor,service,184.29.69.18,cmts-mgmt,tacacs,1,normal,0
2024-01-01 21:16:00,svc_monitor,service,172.17.112.5,router-mgmt,tacacs,1,normal,0
2024-01-01 21:46:00,svc_backup,service,69.252.83.1,storage-mgmt,tacacs,1,normal,0
2024-01-02 00:41:00,svc_backup,service,184.29.64.7,storage-mgmt,tacacs,1,normal,0
2024-01-02 02:37:00,svc_monitor,service,172.18.112.25,router-mgmt,tacacs,1,normal,0
2024-01-02 02:45:00,svc_monitor,service,69.252.89.8,router-mgmt,tacacs,1,normal,0
2024-01-02 05:16:00,svc_backup,service,184.29.67.2,backup-svr,tacacs,1,normal,0
2024-01-02 06:08:00,root,root,185.220.5.100,cmts,tacacs,1,root_login,1
2024-01-02 06:10:00,svc_deploy,service,162.150.6.14,git-runner,tacacs,1,normal,0
2024-01-02 06:14:00,svc_deploy,service,162.150.3.18,git-runner,tacacs,1,normal,0
2024-01-02 07:02:00,fieldtech_b,field,10.3.32.20,provisioning,radius,1,normal,0
2024-01-02 07:38:00,fieldtech_a,field,96.26.48.100,provisioning,radius,1,normal,0
2024-01-02 08:11:00,root,root,69.252.90.7,cmts,tacacs,0,root_login,1
2024-01-02 08:15:00,jsmith,user,96.27.224.100,webmail,radius,1,normal,0
2024-01-02 08:28:00,svc_deploy,service,184.29.50.14,git-runner,tacacs,1,normal,0
